time (s),displacement (mm),pressure (MPa)
0.0, -0.427294492721558, 0.0
0.0625, 0.847173690795898, 0.03125
0.125, 1.5091335773468, 0.0625
0.21875, 2.12729787826538, 0.109375
0.359375, 2.74929356575012, 0.1796875
0.5703125, 3.41935539245605, 0.28515625
0.88671875, 4.1965651512146, 0.443359375
1.0, 4.44716119766235, 0.5
1.474609375, 5.46120452880859, 0.7373046875
2.0, 6.84899282455444, 1.0
2.197021484375, 7.71127319335938, 1.0985107421875
2.27090454101562, 8.23955345153809, 1.13545227050781
2.29861068725586, 8.52873420715332, 1.14930694882232
2.34016990661621, 9.5432300567627, 1.17008654906018
2.34033226966858, 9.57453632354736, 1.17016609116356
2.34049463272095, 9.63262557983398, 1.17024563326694
2.34049463272095, 9.63262557983398, 1.17024563326694
